1,1,632,83,628,282
1,2,632,83,628,282
1,3,632,83,628,282
1,2, 330,472, 626, -94
1,3, 330,472, 626, -94
1,4, 330,472, 626, -94
1,3,698,24,696,225
1,4,698,24,696,225
1,5,698,24,696,225
1,4,135,40,212,221
1,5,135,40,212,221
1,6,135,40,212,221
1,5,165,11,185,500
1,6,165,11,185,500
1,7,165,11,185,500
1,6,637,13,554,424
1,7,637,13,554,424
1,8,637,13,554,424
1,7,579,37,-23,532
1,8,579,37,-23,532
1,9,579,37,-23,532
1,8,264,11,245,499
1,9,264,11,245,499
1,10,264,11,245,499
1,9,496,15,356,344
1,10,496,15,356,344
1,11,496,15,356,344
1,10,122,44,658,500
1,11,122,44,658,500
1,12,122,44,658,500
1,11, 51,02, 97, 50
1,12, 51,02, 97, 50
1,13, 51,02, 97, 50
1,12,  141, 556,  262,   -9
1,13,  141, 556,  262,   -9
1,14,  141, 556,  262,   -9
1,13,457,90,424,290
1,14,457,90,424,290
1,15,457,90,424,290
1,14, 59,10,178,466
1,15, 59,10,178,466
1,16, 59,10,178,466
1,15,542,79,565,164
1,16,542,79,565,164
1,17,542,79,565,164
1,16,368,41,392,356
1,17,368,41,392,356
1,18,368,41,392,356
1,17, 87,94,271,270
1,18, 87,94,271,270
1,19, 87,94,271,270
1,18,696,09,700,466
1,19,696,09,700,466
1,20,696,09,700,466
1,19, 174, 97, 171,  96
1,20, 174, 97, 171,  96
1,21, 174, 97, 171,  96
1,1,632,83,628,282
1,2,632,83,628,282
1,3,632,83,628,282
1,2, 330,472, 626, -94
1,3, 330,472, 626, -94
1,4, 330,472, 626, -94
1,3,698,24,696,225
1,4,698,24,696,225
1,5,698,24,696,225
1,4,135,40,212,221
1,5,135,40,212,221
1,6,135,40,212,221
1,5,165,11,185,500
1,6,165,11,185,500
1,7,165,11,185,500
1,6,637,13,554,424
1,7,637,13,554,424
1,8,637,13,554,424
1,7,579,37,-23,532
1,8,579,37,-23,532
1,9,579,37,-23,532
1,8,264,11,245,499
1,9,264,11,245,499
1,10,264,11,245,499
1,9,496,15,356,344
1,10,496,15,356,344
1,11,496,15,356,344
